sentiment,content
neutral,almost finished enlgish essay power point
neutral,playing bingo mom old ladies
sadness,got right bad headache
neutral,hello welcome twitterverse
surprise,middle industrial estate pirate ffancy dressready mile walk
neutral,quotbus stalkingquot right nowi soo wish still meeting today
neutral,tatteddddd
surprise,reached plate get another bit toast realised id eaten nice feeling
neutral,oh crp placebo tix tori amos go sale anticipating hot cake distribution
sadness,fought jered death avoid wet willy got anyway q coming bike ride
happiness,isp sorted gather cheers bday wish
neutral,yeah haha
surprise,gave regular coke instead diet really
neutral,sorry love left overs come sat mi casa tons birthday well tons food
sadness,aww thank xx
happiness,omg seen sun moon place disproves theory person
happiness,favourite tv show kid bananas pyjamas teletubbies lol luckyy youuuu going jb concert haha
sadness,homework friday nightlame
sadness,babysitting dogsthey place
sadness,one random phone calls ever god kill
neutral,never got see print
happiness,reckon could live yogurt week good selection flavors
sadness,hugs still feeling poorly
happiness,thanks message fan since forever actually met back glad stumbled upon twitter
neutral,noghty night twitterific twitter tweeting pals
neutral,pre made jelly bradie
neutral,today nothing eftelingfun sure pythonrollercoasterride though
surprise,haha ya friend totally kick party occasion
neutral,fair enough actually dont give xmen mad max fine
neutral,probando tweetdeck
neutral,one thing good enough friendship retained
happiness,yeah course next time icq
neutral,yeah yeah yeahs softshock
surprise,wish getting pancakes booooooooo
sadness,woke came realization put much want need drop friends dammit
sadness,jess invited feel really unloved u aj right hahaha
neutral,sneezing hurts back
happiness,awsome know know know
neutral,funny n almost right
sadness,dosent want go work tomorrow
surprise,lost follower
surprise,went vending maching get bugles bugles perhaps sign dont need snack anyway
neutral,video available us foreigners
neutral,leave fraser alone
sadness,denial moving van parked blocks away
neutral,remeber blue dolphin wore thinking victoria day gift
neutral,late
happiness,happy mothers day every mommy
happiness,appreciate
neutral,im chicken
happiness,mean post concert blues lol well soooo know mean
happiness,today happy got got school early im bored
neutral,outlets
sadness,wishes hadnt teased movie night
sadness,oh mothers day france germany usa
neutral,ahh retweet everything say
happiness,happy mothers day x amp go dockers
sadness,sabido nada de ti making bit sad must say
happiness,im going show amsterdam cant wait
neutral,matt
sadness,fjdskal im really frustrated
sadness,dreading work tomorrow wish one day
anger,omg goooood ass nappy nap jusss woke bout clean lil get ready
happiness,hope expo would amazing im trying hard make perfection
happiness,woohoothis dayweek lord made remembered get wear jeans amp chanclas week
happiness,awww heard sweetest guy fans
happiness,omg found thnx
sadness,hope get car today hate anything stops work
sadness,missing ontario
sadness,awww wasnt nice
happiness,getting ready school
sadness,uggh everything im sending keep sending twitter forward suck life
neutral,blocked end ill try remember later
neutral,response tweets weekend
sadness,funeral ceremonygloomy friday
sadness,booooo least give us mantanence weve waited long hints clues full detail pls
sadness,woke amp cant go back sleep txt bff sayin youre call sounds important hours ago
happiness,thank know really love bhb
neutral,turn bird sounds like twitterena check settings home page
happiness,ps got ben button today completes best picture nomsgot great year
happiness,kidding standing room
neutral,fml still awake melatonin working
neutral,finally got see
happiness,finally got km traffic jam well probably able make time laps tonight
happiness,good morning gents ya today
sadness,wish could heading la le sigh maybe someday
sadness,right
surprise,way didnt know singing rof thats without doubt fave done idol thus far eepfangirl moment
sadness,wish would send bruh dm wont til dont waste erection bot
sadness,omfg whyyyyyy sucks wtf tai getcho asses
sadness,yeah point gtlt please dont make feel worse
neutral,hes married
neutral,standin forest got maddest photos taken
happiness,going ride perfect night go chill
happiness,ive seen star trek twice seeing quotupquot today since outvoted
happiness,well interesting attempt commute work didnt exactly plan end thoughgreat
neutral,sittting seat watching tyra show
happiness,maaaan way nice outside working
surprise,one good gig
neutral,taking day absolutely nothing studying begins morrow
sadness,oh check stock port marketing unable buy ticon best price
sadness,still lose followers people hates world hates maybe read
surprise,thank followfriday hun
happiness,whered end going stayed amp watched snl one funnier shows theyve done season
surprise,humid today last night lightning humid
sadness,feeling well food poisoning
happiness,laptop laptop taking sooooooooooo long load fdms myspace page
neutral,got thru watchin bones topping house reruns
happiness,oh okay every often get random taste blood mouth makes go quoteww bloodquot haha
sadness,early morning walkies really arent thing least vaguely warm
happiness,thanks
neutral,rat run steve irwin way avoid long delays bruce highway
neutral,happy mothers day moms pseudo stepmoms
neutral,last episode jay leno itll never nite twitter
neutral,joy discovering linux
neutral,saw james carville store today head really bald
sadness,wtf little year old wanna thugs ugh cant everyone friends cliques like back old days
neutral,post photos robots ok offline hours ttfn oh im
neutral,cant get chat thing work
neutral,couldnt eat
surprise,go spanish mass sunday write couple papers boo
neutral,name label picture hadnt added took picture
neutral,yeah except spurs arent champs like usually
happiness,picture never happened
surprise,thanks
sadness,supposed go tomorrow tooooo use gas ticket money pay car inspection fee
sadness,huh pr
neutral,mustve miami cause havent able drive car since got backit needed oil pump
happiness,eating truffles yum
neutral,gee thanks
neutral,workin
surprise,waiting tell want
sadness,took shift tomorrow dont really feel like working right
neutral,chairs
neutral,got hometh armed hair dye cherry ripe cosmo
happiness,ouvindo quotthe wonders dreamsquot melhor banda mundo que nunca existiu pra comear bem dia
happiness,happy tiff cant drop bio suffer nyayhahahah
happiness,new word day quotwhoore lurequot yes new word cologne thanks mike harding
neutral,love tooooo duuudei need make shirt says something cool say
happiness,good night erin wouldnt say early old
happiness,awww didnt see till edwin left knew wanted forsure tomorrow ill make u new batch
surprise,eating apple life thought would like know
happiness,de wereld need ppl like
happiness,second last biology first time ever time haha
neutral,eff get suspended
happiness,helping exstudent uni assignment via skype gotta love connected world sudying game design even better
neutral,going see long
surprise,omg love parents juss got lavender camera early birthday present
neutral,thoughts exactly
happiness,hanging roomies adore gentlemen live great people good talk discussing boy issues
neutral,tried follow one ff recommendations quothave blocked following request userquot
sadness,im trying really hard hate
sadness,didnt bring connector camera tripsaving new photos wait another week
sadness,im sorry ahahah rachel look much like
sadness,also anyone else hayfevery today ive awake sufferin already
surprise,omgzzz realised homer simspon aint real haha
happiness,im sure youre sleeping youll tell favorite part tomorrow laughed pretty much whole time
neutral,love dad said hed ready go like im still working
happiness,hey lonnie ill next weekend cant wait
sadness,tired sad
surprise,feeling much better history research
sadness,hes totally ignoring sad heartbroken
sadness,feeling pretty tired lonely
sadness,cried whilst watching hollyoaks need life lol
sadness,sure talkthe fabulous sex part though sorry dear
